Phase,Number,Name,Program,Project Manager,Portfolio Category,YTD Actuals,LTD Actuals,EAC (Current),Annual (Current),EAC (Performance/Reference),Annual (Performance/Reference),EAC Variance,Budget Variance
IMPLEMENT,1129590,RSD CWP HIGH COLLISION SAFETY,RSD CWP HIGH COLLISION SAFETY,"Mott, Linda",Traffic Control,"$68,605.53","$2,836,085.95","$7,386,017.36","$3,056,798.59","$7,523,956.71","$3,479,564.00","-$137,939.35",
IMPLEMENT,1129591,RSD CWP SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,"Hafele, Brendan",Traffic Control,"$112,098.56","$1,277,526.44","$1,542,896.56","$163,318.46","$1,482,499.11","$314,071.00","$60,397.46",
IMPLEMENT,1129592,RSD EMERGENT NEED 3865,,"Foote, Mark",Administrative,$0.00,$0.00,,,,,,
IMPLEMENT,1129593,RSD GRANT CONTINGENCY 3865,,"Foote, Mark",Administrative,$0.00,$0.00,,,,,,
PLANNING,1129594,RSD CWP GUARDRAIL CONSTRUCTION,RSD CWP GUARDRAIL CONSTRUCTION,"Mott, Linda",Roadside,"$97,773.43","$2,051,628.14","$2,186,685.14","$232,830.43","$2,083,855.71","$130,001.00","$102,829.43",
DESIGN,1129595,RSD OLD CASCADE/MILLER BR WEST,,"Lyou, John",Bridges & Structures,"$164,802.96","$654,161.64","$1,307,601.28","$95,182.62","$1,332,938.66","$240,000.00","-$25,337.38",-42.04%
DESIGN,1129596,RSD OLD CASCADE/MILLER BR EAST,,"Lyou, John",Bridges & Structures,"$219,485.03","$819,921.63","$2,759,207.01","$239,690.17","$2,759,516.84","$240,000.00",-$309.83,0.34%
PREDESIGN,1129598,RSD ISS HBRT RD@MAY VLLY IMPRV,,"Wang, Jun",Roadway,"$32,440.65","$243,350.17","$717,813.65","$161,904.61","$731,409.04","$175,500.00","-$13,595.39",
DESIGN,1129599,RSD RENTON AVE PH III SIDEWALK,,"Linders, Jon",Roadside,"$94,119.59","$504,052.91","$3,169,229.63","$279,296.46","$2,714,741.07","$241,000.00","$454,488.56",-20.15%
IMPLEMENT,1129714,RSD NE STILLWATER HILL RD,RSD CWP ROADWAY PRESERVATION,"Linders, Jon",Roadway,"$3,165,958.43","$3,489,743.01","$3,697,590.36","$3,362,475.78","$4,386,784.74","$4,038,000.00","-$689,194.38",-13.13%
IMPLEMENT,1129716,RSD DIVISION 1 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$112,148.79","$1,005,918.47","$1,234,092.70","$340,323.02","$1,348,071.68","$454,302.00","-$113,978.98",
IMPLEMENT,1129717,RSD DIVISION 2 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$55,250.69","$576,401.03","$817,453.15","$296,302.81","$975,453.34","$454,303.00","-$158,000.19",
IMPLEMENT,1129718,RSD DIVISION 3 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$633,427.34","$6,632,560.89","$6,606,318.96","$607,185.41","$6,453,436.55","$454,303.00","$152,882.41",
IMPLEMENT,1129720,RSD DIVISION 4 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$813,325.32","$2,694,890.92","$2,639,936.05","$758,370.45","$2,335,868.60","$454,303.00","$304,067.45",
IMPLEMENT,1129721,RSD DIVISION 5 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$426,640.57","$2,039,056.45","$2,170,928.88","$558,513.00","$2,066,718.88","$454,303.00","$104,210.00",
IMPLEMENT,1129722,RSD DIVISION 6 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$1,425.02","$125,031.68","$378,443.66","$254,837.00","$577,909.66","$454,303.00","-$199,466.00",
IMPLEMENT,1129723,RSD DIVISION 1 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$109,651.62","$508,520.54","$502,377.51","$103,508.59","$484,869.92","$86,001.00","$17,507.59",
IMPLEMENT,1129724,RSD DIVISION 2 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$95,035.14","$556,089.97","$530,823.20","$69,768.37","$547,055.83","$86,001.00","-$16,232.63",
IMPLEMENT,1129725,RSD DIVISION 3 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$119,187.10","$569,047.13","$491,047.16","$41,187.13","$535,861.03","$86,001.00","-$44,813.87",
IMPLEMENT,1129726,RSD DIVISION 4 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$116,351.60","$485,450.21","$518,771.79","$149,673.18","$455,099.61","$86,001.00","$63,672.18",
IMPLEMENT,1129727,RSD DIVISION 5 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,"$26,440.87","$255,109.58","$281,139.01","$52,470.30","$314,669.71","$86,001.00","-$33,530.70",
IMPLEMENT,1129728,RSD DIVISION 6 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,$0.00,"$37,968.52","$78,135.52","$40,167.00","$123,969.52","$86,001.00","-$45,834.00",
IMPLEMENT,1129841,RSD CIP OVERSIGHT 3855,,"Foote, Mark",Administrative,"$10,021.59","$56,447.23","$62,425.64","$16,000.00","$62,425.64","$16,000.00",,
IMPLEMENT,1130303,RSD CIP OVERSIGHT 3865,,"Foote, Mark",Administrative,"$2,482.72","$14,469.25","$21,986.53","$10,000.00","$21,986.53","$10,000.00",,
PLANNING,1130705,RSD FC SNQ VLY MJR FL MIT STDY,RSD CWP FLOOD CONTROL DISTRICT,"Truong, Trinh",Drainage,"$23,840.23","$23,840.23","$40,857.56","$40,857.56","$41,000.00","$41,000.00",-$142.44,
PLANNING,1130706,RSD FC NE8ST@ALLEN LAKE OUTLET,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,"$17,346.91","$36,712.19","$92,076.33","$72,711.05","$111,365.28","$92,000.00","-$19,288.95",
IMPLEMENT,1130707,RSD FC 162 AVE SE @ SE 166 CT,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,"$90,357.65","$3,852,013.42","$3,871,278.44","$109,622.67","$3,861,655.77","$100,000.00","$9,622.67",51.87%
CLOSEOUT,1130708,RSD FC DAVID POWELL RD RPR,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,"$4,726.00","$1,078,929.07","$1,078,929.07","$4,726.00","$1,074,203.07",,"$4,726.00",-43.50%
DESIGN,1130710,RSD FC 380 PL @SR-164 CDR,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,"$92,605.14","$372,959.69","$918,713.67","$115,650.61","$967,063.06","$164,000.00","-$48,349.39",-3.41%
CLOSEOUT,1130962,RSD BLK DMND-RVNSDL RD SLD RPR,RSD QUICK RESPONSE,"Shular, Ryan",Contingencies,$0.00,"$531,772.91","$531,772.91",,,,,
CLOSEOUT,1131132,RSD 2017-18 NEW GRDL CONSTRUCT,RSD CWP GUARDRAIL CONSTRUCTION,"Bleasdale, Don",Roadside,$0.00,"$1,100,788.91","$1,100,788.91",,,,,-13.92%
DESIGN,1131157,RSD HGH COLLSN SIGHTLINE IMPV,RSD CWP HIGH COLLISION SAFETY,"Karinen, Martin",Traffic Control,"$43,139.05","$43,799.65","$160,382.21","$24,276.61","$155,160.60","$154,500.00","$5,221.61",-25.29%
IMPLEMENT,1131162,RSD HGH COLLSN SIGNAL MOD,RSD CWP HIGH COLLISION SAFETY,"Zhen, Haiyan",Traffic Control,$0.00,"$68,997.89","$68,997.89",,,,,
CLOSEOUT,1131163,RSD HGH FRICTION SURF TMT,RSD CWP HIGH COLLISION SAFETY,"Sahagun, Dan",Traffic Control,$0.00,"$2,319,640.00","$2,319,640.00",,"$2,319,640.00",,,-25.59%
DESIGN,1131235,RSD S 360ST&MILITARY RD RNDABT,,"Karinen, Martin",Traffic Control,"$240,714.12","$543,332.93","$4,629,465.52","$375,828.04","$4,060,179.75","$260,000.00","$569,285.77",
HOLD,1131236,RSD S LANGSTON RD&59 AV RNDABT,,"McManus, Aileen",Traffic Control,$0.00,"$57,842.02","$57,842.02",,,,,
IMPLEMENT,1131333,RSD CWP FLOOD CONTROL DISTRICT,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,"$378,356.09","$7,263,166.70","$8,278,942.74","$424,073.01","$8,646,818.73","$791,949.00","-$367,875.99",
CLOSEOUT,1131387,RSD 2017 CW PVMNT PRESERVATION,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,$0.00,"$12,953,162.39","$12,953,162.39",,,,,-13.06%
CLOSEOUT,1131508,RSD DIV 4 FACLTY IMPRVMT 17-18,RSD FACIL PRESERVATION C/WIDE,"Kosai-Eng, Joann",Maintenance Facilities,$0.00,"$175,077.63","$175,077.63",,,,,
DESIGN,1131511,RSD SAHALEE WY NE 46000 BLK,RSD CWP DRAINAGE PRESERVATION,"Dulan, Lica",Drainage,"$5,730.06","$161,432.11","$361,386.21","$205,684.16","$159,702.05","$4,000.00","$201,684.16",
DESIGN,1131526,RSD SE PTRVSKY & 134 A SE,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,"$13,785.42","$528,071.61","$5,336,227.87","$11,226.59","$5,325,001.28",,"$11,226.59",
IMPLEMENT,1131557,RSD 17-18 SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,"Brown, Keith",Traffic Control,$0.00,"$771,490.13","$771,490.13",,,,,
IMPLEMENT,1131582,RSD NE WD/DVL CULVERT REPL,RSD QUICK RESPONSE,"Shular, Ryan",Contingencies,$0.00,"$994,760.70","$994,760.70",,,,,
DESIGN,1131671,RSD SE PTRVSKY @ 151ST  A SE,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,"$2,443.61","$65,913.32","$100,913.32","$37,443.61","$98,469.71","$35,000.00","$2,443.61",
DESIGN,1131672,RSD SE PTRVSKY @20300BLK,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,"$2,914.12","$31,236.95","$76,236.95","$47,914.12","$83,322.83","$55,000.00","-$7,085.88",
CLOSEOUT,1131693,RSD UNION HILL@225 BOXCULVRT,RSD CWP DRAINAGE PRESERVATION,"Truong, Trinh",Drainage,$0.00,"$795,984.85","$795,984.85",,"$795,984.85",,,
PLANNING,1132446,RSD S LANGSTN RD@132ST DRG IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,$0.00,"$303,809.67","$303,809.67",,"$303,809.67",,,
PREDESIGN,1132448,RSD SW 108ST@10 AVE SW DRG IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,$0.00,"$15,800.85","$15,800.85",,,,,
DESIGN,1132450,RSD 177 AVE SE DRG IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,$0.00,"$40,593.52","$40,593.52",,,,,
PREDESIGN,1132523,RSD GREEN RVR RD S28728 DR IMP,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,$0.00,"$106,311.99","$106,311.99",,,,,
DESIGN,1132710,RSD DRAIN IMP SAHALEE-4800,RSD CWP DRAINAGE PRESERVATION,"Dulan, Lica",Drainage,$339.55,"$81,510.43","$343,425.56","$2,254.88","$341,170.68",,"$2,254.88",
CLOSEOUT,1132958,RSD 15 MILE BRDG #1384A LOAD,RSD QUICK RESPONSE,"Martin, TingTing",Contingencies,$0.00,"$286,572.71","$286,572.71",,,,,
CLOSEOUT,1133219,RSD VASHON HWY SW PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,"$149,141.71","$4,879,288.17","$4,730,787.22",$640.76,"$4,730,146.46",,$640.76,-14.38%
CLOSEOUT,1133220,RSD 2018 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,$0.00,"$4,447,489.29","$4,447,489.29",,,,,3.42%
CLOSEOUT,1133413,RSD SE SAWYER RDG OVERLAY,RSD CW ROADWAY PRESERVATION,"Moore, Paul",Roadway,$0.00,"$193,013.24","$193,013.24",,,,,
CLOSEOUT,1133440,RSD MOUNT VIEW RD REPAIR,RSD CWP QUICK RESPONSE,"Shular, Ryan",Roadside,$0.00,"$106,104.14","$106,104.14",,,,,
CLOSEOUT,1133757,RSD 2018 BITUM SURF TREATMENT,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,$0.00,"$3,234,062.61","$3,234,062.61",,,,,-32.10%
CLOSEOUT,1133864,RSD NE NVLTY HILL RD TRAIL,RSD CWP QUICK RESPONSE,"Sahagun, Dan",Roadside,$0.00,"$347,559.23","$347,559.23",,,,,
PLANNING,1134079,RSD KENTKANGLEY LNDSBRG RNDABT,,"Linders, Jon",Traffic Control,"$5,629.12","$87,629.39","$5,188,666.74","$11,665.18","$5,181,001.56","$4,000.00","$7,665.18",
PLANNING,1134080,RSD WDDUV SNOQ VALLEY IMPROVE,,"Linders, Jon",Roadway,"$24,103.75","$113,438.30","$9,945,242.23","$23,846.02","$8,866,333.70","$28,000.00","$1,078,908.53",
DESIGN,1134081,RSD REDMOND RIDGE DR NE RNDABT,,"Karinen, Martin",Traffic Control,"$19,033.26","$48,063.92","$1,487,442.00","$138,410.98","$1,506,530.18","$130,000.00","-$19,088.19",9.16%
IMPLEMENT,1134082,RSD FACILITIES LED CONVERSION,,"Kosai-Eng, Joann",Maintenance Facilities,"$80,471.91","$369,653.19","$339,664.24","$50,482.96","$389,181.28","$100,000.00","-$49,517.04",
PREDESIGN,1134083,RSD COVINGTON WAY SE IMPROVE,,"Linders, Jon",Roadway,"$102,300.24","$216,240.70","$204,624.37","$90,683.91","$193,940.46","$80,000.00","$10,683.91",
IMPLEMENT,1134093,RSD CWP TRAFFIC SAFETY,RSD CWP TRAFFIC SAFETY,"Brown, Keith",Traffic Control,"$384,775.83","$675,774.50","$1,227,229.34","$741,558.15","$1,369,386.61","$1,074,373.00","-$142,157.27",
LAND,1135042,RSD VASHON MAINT FACILITY REPL,,"Kosai-Eng, Joann",Maintenance Facilities,$0.00,"$16,316.99","$16,316.99",,,,,
LAND,1135043,RSD NE MAINT FACILITY REPL,,"Kosai-Eng, Joann",Maintenance Facilities,$0.00,$0.00,,,,,,
PLANNING,1135044,RSD PRSTN MAINT FACILTY BLDOUT,,"Kosai-Eng, Joann",Maintenance Facilities,$0.00,$0.00,,,,,,
IMPLEMENT,1135045,RSD CWP CLVRT RPLCMT FISH PASS,RSD CWP CLVRT RPLCMT FISH PASS,"Cassidy, Jon",Drainage,"$1,881,189.69","$4,602,173.54","$17,764,023.80","$2,333,771.60","$17,761,181.13","$2,158,703.66","$2,842.66",
DESIGN,1135046,RSD MAINT HDQTRS BLDG D REHAB,,"Ho, Alex",Maintenance Facilities,"$11,506.63","$1,794,978.41","$1,794,978.41","$11,506.63","$1,794,978.78","$11,507.00",,-0.27%
IMPLEMENT,1135073,RSD CWP 2019-20 BRIDGE SAFETY,RSD CWP 2019-20 BRIDGE SAFETY,"Truong, Trinh",Bridges & Structures,$0.00,$0.00,,,,,,
IMPLEMENT,1135997,RSD COAL CREEK BRG 3035A REPL,,"Martin, TingTing",Bridges & Structures,"$435,419.12","$2,165,522.52","$6,437,634.68","$2,813,871.77","$6,403,763.16","$2,780,000.25","$33,871.52",-3.24%
DESIGN,1135998,RSD AMES LK TRS BRG 1320A REPL,,"Truong, Trinh",Bridges & Structures,"$376,533.47","$836,284.09","$10,677,030.02","$403,878.05","$10,683,151.97","$410,000.00","-$6,121.95",0.00%
DESIGN,1135999,RSD UPR TOKUL CK BRG 271B REPL,,"Martin, TingTing",Bridges & Structures,"$435,189.64","$927,453.61","$4,716,718.27","$555,699.42","$4,791,018.85","$630,000.00","-$74,300.58",0.00%
DESIGN,1136000,RSD BARING BRG 509A REPL,,"Truong, Trinh",Bridges & Structures,"$285,915.79","$1,094,781.74","$18,230,074.17","$345,759.90","$18,264,314.27","$380,000.00","-$34,240.10",
IMPLEMENT,1136001,RSD 277TH ST BRG 3126 REPL,,"Premachandra, Hiromal",Bridges & Structures,"$1,789,540.37","$2,426,212.37","$2,863,257.16","$1,897,948.88","$2,152,672.00","$1,503,000.00","$710,585.16",3.05%
CLOSEOUT,1136084,RSD 2019-20 NEW GRDRAIL CONST,RSD CWP GUARDRAIL CONSTRUCTION,"Mott, Linda",Roadside,"$97,773.43","$950,839.23","$1,085,896.23","$232,830.43","$983,066.80","$130,001.00","$102,829.43",-5.92%
IMPLEMENT,1136085,RSD 2019-20 GUARDRAIL PRESRVTN,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,"$1,809,397.62","$2,343,923.17","$3,049,314.91","$2,508,956.47","$2,465,358.06","$1,924,999.63","$583,956.84",-45.45%
DESIGN,1136086,RSD 218TH AV SE RECONSTRUCTION,RSD CWP ROADWAY PRESERVATION,"Linders, Jon",Roadway,"$224,777.95","$595,291.80","$5,909,861.50","$213,348.46","$5,866,513.04","$170,000.00","$43,348.46",0.00%
DESIGN,1136228,RSD PET RD AT 134TH CULVERT,,"Mitchell, Mark C.",Drainage,$0.00,$0.00,,,"$13,500.00","$13,500.00","-$13,500.00",
PREDESIGN,1136229,RSD 180TH AT 408TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,"$6,370.07","$128,501.42","$180,763.81","$58,632.46","$197,131.35","$75,000.00","-$16,367.54",
PLANNING,1136230,RSD FAIRWOOD E OF 151 CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Cassidy, Jon",Drainage,"$32,907.13","$34,314.74","$206,407.61","$205,000.00","$226,407.61","$225,000.00","-$20,000.00",
PREDESIGN,1136231,RSD 185TH AT 179TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,"$61,730.40","$122,699.56","$147,844.88","$86,875.72","$190,969.16","$130,000.00","-$43,124.28",
DESIGN,1136232,RSD 18430 NE 128TH WY CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,"$55,950.96","$311,856.55","$249,613.56","-$6,292.03","$345,905.59","$90,000.00","-$96,292.03",
DESIGN,1136233,RSD LAKE JOY AT 118TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Quach, Dieu",Drainage,"$1,631,587.13","$1,936,909.00","$2,160,655.96","$1,850,184.10","$1,265,621.52","$949,999.66","$895,034.44",
PREDESIGN,1136234,RSD WD DUV AT 172ND CULVERT,,"Wang, Jun",Drainage,"$70,948.56","$370,869.29","$4,860,331.93","$447,011.61","$4,210,999.89","$400,000.00","$649,332.04",
DESIGN,1136235,RSD AVONDALE AND 144TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,"$9,854.14","$326,464.16","$2,202,784.81","-$38,312.93","$2,331,097.74","$90,000.00","-$128,312.93",
DESIGN,1136236,RSD 165TH AND 176TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,"$55,337.62","$306,258.97","$261,343.35","$10,422.00","$375,921.35","$125,000.00","-$114,578.00",
PREDESIGN,1136237,RSD S 370TH ST CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Lyou, John",Drainage,"$1,567.43","$15,419.39","$13,851.96",,"$13,851.96",,,
DESIGN,1136238,RSD 33609 NE 24TH ST CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Quach, Dieu",Drainage,$65.07,"$39,673.22","$915,108.13",,"$915,108.13",,,
PLANNING,1136239,RSD 317TH AND THOMAS CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Shular, Ryan",Drainage,$0.00,"$23,587.17","$975,352.12","$50,000.00","$975,352.12","$50,000.00",,
IMPLEMENT,1136241,RSD 28278 GREEN RVR RD CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Shular, Ryan",Drainage,"$7,838.55","$1,048,672.60","$1,051,105.80","$10,271.75","$1,040,834.05",,"$10,271.75",
IMPLEMENT,1136351,RSD CURB RAMP REPLACEMENT 3855,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,$0.00,"$305,736.17","$305,736.17",,"$305,736.17",,,
IMPLEMENT,1136352,RSD 2019 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,$42.86,"$2,842,027.59","$2,841,984.73",,"$2,841,984.73",,,0.28%
DESIGN,1136419,RSD SE 432ND ST CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Dulan, Lica",Drainage,"$1,321.20","$22,661.39","$2,009,453.06","$1,321.20","$2,010,335.88",,-$882.82,
DESIGN,1136580,RSD S 360TH ST SCHOOL PTHWY,RSD CWP SCHOOL ZONE SAFETY,"Karinen, Martin",Traffic Control,"$2,049.17","$4,631.94","$224,432.10","$7,699.11","$218,583.00","$213,000.00","$5,849.11",-20.67%
DESIGN,1136582,RSD S 298TH ST SCHOOL PTHWY,RSD CWP SCHOOL ZONE SAFETY,"McManus, Aileen",Traffic Control,"$7,707.02","$97,627.97","$109,072.41","$19,151.46","$101,580.95","$11,660.00","$7,491.46",
CLOSEOUT,1136631,RSD JUDD CK BRD 3184 RPR,RSD CWP QUICK RESPONSE,"O'Day, Jamie",Roadside,"$24,134.66","$117,967.45","$115,390.52","$21,557.73","$98,832.79","$5,000.00","$16,557.73",
DESIGN,1136633,RSD PATTON BRD 3015 BKT RPR,RSD CWP QUICK RESPONSE,"Jiang, Stephen",Roadside,"$451,246.25","$566,668.47","$594,329.46","$478,907.24","$548,329.22","$432,907.00","$46,000.24",
CLOSEOUT,1136646,RSD 42ND AVE S SCHOOL PTHWY,RSD CWP SCHOOL ZONE SAFETY,"McManus, Aileen",Traffic Control,"$17,132.15","$94,430.58","$91,380.19","$14,081.76","$96,898.43","$19,600.00","-$5,518.24",
IMPLEMENT,1136709,RSD TRAFFIC CALMING,RSD CWP TRAFFIC SAFETY,"Mott, Linda",Traffic Control,"$114,637.25","$135,789.51","$116,434.54","$93,274.81","$188,159.73","$165,000.00","-$71,725.19",
IMPLEMENT,1136711,RSD ROADWAY LIGHTING,RSD CWP TRAFFIC SAFETY,"Mott, Linda",Traffic Control,"$65,646.96","$115,730.72","$406,696.34","$356,612.58","$487,083.76","$437,000.00","-$80,387.42",
PLANNING,1136712,RSD RADAR SPEED SIGNS,RSD CWP TRAFFIC SAFETY,"Kunihiro, Lisa",Traffic Control,"$57,675.34","$130,005.02","$118,420.10","$46,090.42","$110,829.68","$38,500.00","$7,590.42",
IMPLEMENT,1136715,RSD LEFT TURN PHASING,RSD CWP TRAFFIC SAFETY,"Zhen, Haiyan",Traffic Control,"$19,934.33","$164,162.88","$227,618.78","$83,390.23","$223,098.55","$78,870.00","$4,520.23",
IMPLEMENT,1136716,RSD TRANSVERSE RUMBLE SIGNS,RSD CWP TRAFFIC SAFETY,"Mott, Linda",Traffic Control,"$88,400.00","$91,604.42","$91,594.41","$86,382.52","$220,211.89","$215,000.00","-$128,617.48",
PLANNING,1136931,RSD SCALE DBASE RPLCMNT,RSD CWP OBSOLETE IT SYS RPLMNT,"Crippen, Mike",Administrative,"$150,665.75","$236,812.01","$122,747.01","$36,600.75",,,,
PLANNING,1136932,RSD BIZDOC MAP VLT RPLCMNT,RSD CWP OBSOLETE IT SYS RPLMNT,"Crippen, Mike",Administrative,"$245,058.75","$323,806.76","$244,044.26","$165,296.25",,,,
